time;LTFT add. B1;LTFT add. B2;LTFT mul. B1;LTFT mul. B2;InjTmCyl1;STFT B1;STFT B2;Coolant;Lambda B1;Lambda B2;RPM
7986;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8025;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8065;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8104;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8145;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8185;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8224;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8265;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8306;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8347;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8396;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8434;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8476;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8515;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8556;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8597;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8644;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8685;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8724;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8767;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8815;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8857;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8906;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8945;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
8984;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9027;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9076;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9115;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9156;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9195;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9244;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9284;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9324;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9365;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9415;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9457;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9504;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9544;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9586;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9625;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9664;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9706;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9745;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9784;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9825;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
9866;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
